,id,conversation_id,created_at,date,time,timezone,user_id,username,name,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,reply_to
0,1297322644581253120,1297293473046040580,1598140796000,2020-08-22,23:59:56,0,38460961,paulnuki,Paul Nuki,"I understand. You should bookmark the Global Health Security channel though. Free to read, focused on infectious dseases and first UK national to report on Covid on Jan 6 and ever since
 https://www.telegraph.co.uk/global-health/ ",en,['ballouxfrancois'],['https://www.telegraph.co.uk/global-health/'],[],0,0,2,[],[],https://twitter.com/PaulNuki/status/1297322644581253120,False,,0,"[{'user_id': '38460961', 'username': 'PaulNuki'}, {'user_id': '1113747629282930688', 'username': 'BallouxFrancois'}]"
1,1297322404134260736,1297322404134260736,1598140738000,2020-08-22,23:58:58,0,306435370,cbcdougdirks,Doug Dirks,"What you need to know about COVID-19 in Alberta on Saturday, August 22 | CBC News  https://www.cbc.ca/news/canada/calgary/alberta-covid-coronavirus-august-22-1.5696436?__vfz=medium%3Dsharebar … @CBCHomestretch @CMOH_Alberta @jkenney #ableg #cdnpoli #cdnpoli",en,"['cbchomestretch', 'cmoh_alberta', 'jkenney']",['https://www.cbc.ca/news/canada/calgary/alberta-covid-coronavirus-august-22-1.5696436?__vfz=medium%3Dsharebar'],[],1,0,1,"['#ableg', '#cdnpoli', '#cdnpoli']",[],https://twitter.com/cbcDougDirks/status/1297322404134260736,False,,0,"[{'user_id': '306435370', 'username': 'cbcDougDirks'}, {'user_id': '77005931', 'username': 'CBCHomestretch'}, {'user_id': '1239656978495856641', 'username': 'CMOH_Alberta'}, {'user_id': '21525682', 'username': 'jkenney'}]"
2,1297322311062675456,1297322311062675456,1598140716000,2020-08-22,23:58:36,0,30846824,toicitiesnews,TOI Cities,Covid deaths highest in Kolhapur  http://toi.in/KAUF0Z ,en,[],['http://toi.in/KAUF0Z'],[],0,0,0,[],[],https://twitter.com/TOICitiesNews/status/1297322311062675456,False,,0,"[{'user_id': '30846824', 'username': 'TOICitiesNews'}]"
3,1297322293702430722,1297322293702430722,1598140712000,2020-08-22,23:58:32,0,57101514,skilletdoux,Dominic Armato,It occurs to me that just getting coffee with everybody post-COVID is going to be a full-time job. Love you all... thanks so much :-),en,[],[],[],0,0,24,[],[],https://twitter.com/SkilletDoux/status/1297322293702430722,False,,0,"[{'user_id': '57101514', 'username': 'SkilletDoux'}]"
4,1297322178052886528,1297322178052886528,1598140684000,2020-08-22,23:58:04,0,903162031,paulelia,Paul Elia,Pandemic drivers scare me more than covid,en,[],[],[],0,1,1,[],[],https://twitter.com/PaulElia/status/1297322178052886528,False,,0,"[{'user_id': '903162031', 'username': 'PaulElia'}]"
5,1297322169786015744,1297322169786015744,1598140683000,2020-08-22,23:58:03,0,432557320,timesofisrael,The Times of Israel,Can Diaspora Jews visit Israel amid COVID-19 crisis? The rules keep changing  https://www.timesofisrael.com/can-diaspora-jews-visit-israel-amid-covid-19-crisis-the-rules-keep-changing/?utm_source=dlvr.it&utm_medium=twitter …,en,[],['https://www.timesofisrael.com/can-diaspora-jews-visit-israel-amid-covid-19-crisis-the-rules-keep-changing/?utm_source=dlvr.it&utm_medium=twitter'],[],1,6,11,[],[],https://twitter.com/TimesofIsrael/status/1297322169786015744,False,,0,"[{'user_id': '432557320', 'username': 'TimesofIsrael'}]"
6,1297322168997429248,1297322168997429248,1598140682000,2020-08-22,23:58:02,0,226061405,bollywood_life,Bollywood Life,"Sooryavanshi and 83 might release directly on OTT if COVID-19 worsens, says Reliance Entertainment’s Shibasish Sarkar 
 #83 #AkshayKumar #RanveerSingh #Sooryavanshi https://www.bollywoodlife.com/news-gossip/bollywood-news-sooryavanshi-and-83-might-release-directly-on-ott-if-covid-19-worsens-says-reliance-entertainments-shibasish-sarkar-1674823/ …",en,[],['https://www.bollywoodlife.com/news-gossip/bollywood-news-sooryavanshi-and-83-might-release-directly-on-ott-if-covid-19-worsens-says-reliance-entertainments-shibasish-sarkar-1674823/'],[],0,4,9,"['#akshaykumar', '#ranveersingh', '#sooryavanshi']",[],https://twitter.com/bollywood_life/status/1297322168997429248,False,,0,"[{'user_id': '226061405', 'username': 'bollywood_life'}]"
7,1297321985173786627,1297321985173786627,1598140638000,2020-08-22,23:57:18,0,2543519557,teresa_varley,Teresa Varley,"Coach Mike Tomlin said there were some injuries that occurred during practice: Spillane (finger), Smallwood (shoulder), Canaday (knee), Wormley (shoulder). Added some guys missed practice because of the COVID procedure, but none of them are on the list.",en,[],[],[],4,18,160,[],[],https://twitter.com/Teresa_Varley/status/1297321985173786627,False,,0,"[{'user_id': '2543519557', 'username': 'Teresa_Varley'}]"
8,1297321966211231745,1297321966211231745,1598140634000,2020-08-22,23:57:14,0,317617991,stirlhinchliffe,Stirling Hinchliffe,"If you’ve visited any of the below places during the times specified and you develop Covid symptoms, please get tested.  https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/contact-tracing?fbclid=IwAR2C7xDRb5He6Y2xVVOefTKKK1gbY39VlDhnJpmeUcNeCY2TOiNkEQHfAC0 …",en,[],['https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/contact-tracing?fbclid=IwAR2C7xDRb5He6Y2xVVOefTKKK1gbY39VlDhnJpmeUcNeCY2TOiNkEQHfAC0'],[],0,2,2,[],[],https://twitter.com/StirlHinchliffe/status/1297321966211231745,False,,0,"[{'user_id': '317617991', 'username': 'StirlHinchliffe'}]"
9,1297321934607114240,1297321934607114240,1598140626000,2020-08-22,23:57:06,0,55432787,3aw693,3AW Melbourne,"JUST IN | Victoria has recorded 208 new cases of COVID-19 in the past 24 hours.

17 people have died.",en,[],[],[],12,9,27,[],[],https://twitter.com/3AW693/status/1297321934607114240,False,,0,"[{'user_id': '55432787', 'username': '3AW693'}]"
